,price_classification,actual_price,discounted_price,rating_classification,category0,category1,percent
64,more than 500,24999.0,13999.0,Good,Electronics,"HomeTheater,TV&Video",-0.4400176007040282
65,more than 500,1400.0,309.0,Good,Electronics,"HomeTheater,TV&Video",-0.7792857142857142
66,more than 500,699.0,263.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6237482117310443
67,more than 500,14990.0,7999.0,Good,Electronics,"HomeTheater,TV&Video",-0.46637758505670446
68,more than 500,2999.0,1599.0,Good,Electronics,"HomeTheater,TV&Video",-0.4668222740913638
69,more than 500,700.0,219.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6871428571428572
70,more than 500,899.0,349.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6117908787541713
71,more than 500,599.0,349.0,Good,Computers&Accessories,Accessories&Peripherals,-0.41736227045075125
72,more than 500,42999.0,26999.0,Good,Electronics,"HomeTheater,TV&Video",-0.372101676783181
73,between 50 and 500,499.0,115.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.7695390781563126
74,more than 500,999.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6006006006006006
75,between 50 and 500,499.0,199.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6012024048096193
76,between 50 and 500,399.0,179.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.5513784461152882
77,more than 500,30990.0,10901.0,Good,Electronics,"HomeTheater,TV&Video",-0.6482413681832849
78,between 50 and 500,499.0,209.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.5811623246492986
79,more than 500,3999.0,1434.0,Fair,Electronics,"HomeTheater,TV&Video",-0.641410352588147
80,more than 500,1099.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6369426751592356
81,between 50 and 500,249.0,139.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.44176706827309237
82,more than 500,19125.0,7299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6183529411764705
83,more than 500,799.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6257822277847309
84,more than 500,1299.0,325.0,Good,Computers&Accessories,Accessories&Peripherals,-0.7498075442648191
85,more than 500,39999.0,29999.0,Good,Electronics,"HomeTheater,TV&Video",-0.2500062501562539
86,more than 500,40990.0,27999.0,Good,Electronics,"HomeTheater,TV&Video",-0.3169309587704318
87,more than 500,52900.0,30990.0,Good,Electronics,"HomeTheater,TV&Video",-0.41417769376181474
88,more than 500,999.0,199.0,Good,Computers&Accessories,Accessories&Peripherals,-0.8008008008008008
89,more than 500,1999.0,649.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6753376688344173
90,more than 500,800.0,269.0,Fair,Computers&Accessories,NetworkingDevices,-0.66375
91,more than 500,31999.0,24999.0,Good,Electronics,"HomeTheater,TV&Video",-0.21875683615112973
92,more than 500,699.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5722460658082976
93,more than 500,999.0,199.0,Good,Computers&Accessories,Accessories&Peripherals,-0.8008008008008008
94,more than 500,40990.0,18990.0,Good,Electronics,"HomeTheater,TV&Video",-0.5367162722615272
95,between 50 and 500,349.0,290.0,Fair,Computers&Accessories,NetworkingDevices,-0.16905444126074498
96,more than 500,799.0,249.0,Fair,Electronics,"HomeTheater,TV&Video",-0.688360450563204
97,more than 500,999.0,345.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6546546546546547
98,more than 500,1899.0,1099.0,Good,Computers&Accessories,NetworkingDevices,-0.421274354923644
99,more than 500,1499.0,719.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5203468979319547
100,more than 500,1499.0,349.0,Good,Electronics,"HomeTheater,TV&Video",-0.7671781187458305
101,more than 500,1809.0,849.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5306799336650083
102,more than 500,899.0,299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6674082313681868
103,more than 500,29999.0,21999.0,Good,Electronics,"HomeTheater,TV&Video",-0.26667555585186176
104,more than 500,999.0,349.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6506506506506506
105,more than 500,999.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6006006006006006
106,more than 500,1299.0,449.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6543494996150885
107,more than 500,999.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.7007007007007007
108,more than 500,65000.0,37999.0,Good,Electronics,"HomeTheater,TV&Video",-0.4154
109,more than 500,800.0,99.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.87625
110,more than 500,20000.0,7390.0,Good,Electronics,"HomeTheater,TV&Video",-0.6305
111,more than 500,999.0,273.1,Good,Computers&Accessories,Accessories&Peripherals,-0.7266266266266266
112,more than 500,23990.0,15990.0,Good,Electronics,"HomeTheater,TV&Video",-0.3334722801167153
113,more than 500,999.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6006006006006006
114,more than 500,1999.0,399.0,Good,Electronics,"HomeTheater,TV&Video",-0.80040020010005
115,between 50 and 500,399.0,210.0,Good,Computers&Accessories,Accessories&Peripherals,-0.47368421052631576
116,more than 500,1999.0,1299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.3501750875437719
117,more than 500,999.0,347.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6526526526526526
118,more than 500,999.0,149.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.8508508508508509
119,more than 500,899.0,228.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.746384872080089
120,more than 500,1999.0,1599.0,Good,Computers&Accessories,Accessories&Peripherals,-0.2001000500250125
121,more than 500,3999.0,1499.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6251562890722681
122,more than 500,15999.0,8499.0,Good,Electronics,"HomeTheater,TV&Video",-0.46877929870616913
123,more than 500,44990.0,20990.0,Good,Electronics,"HomeTheater,TV&Video",-0.5334518781951545
124,more than 500,44999.0,32999.0,Good,Electronics,"HomeTheater,TV&Video",-0.2666725927242828
125,more than 500,1700.0,799.0,Good,Electronics,"HomeTheater,TV&Video",-0.53
126,more than 500,595.0,229.0,Good,Electronics,"HomeTheater,TV&Video",-0.6151260504201681
127,more than 500,27990.0,9999.0,Good,Electronics,"HomeTheater,TV&Video",-0.6427652733118971
128,more than 500,599.0,349.0,Good,Electronics,"HomeTheater,TV&Video",-0.41736227045075125
129,more than 500,1200.0,489.0,Good,Electronics,"HomeTheater,TV&Video",-0.5925
130,more than 500,34990.0,23999.0,Good,Electronics,"HomeTheater,TV&Video",-0.3141183195198628
131,more than 500,999.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6006006006006006
132,more than 500,1299.0,349.0,Fair,Electronics,HomeAudio,-0.7313317936874519
133,between 50 and 500,299.0,179.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.4013377926421405
134,more than 500,1500.0,689.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5406666666666666
135,more than 500,49990.0,30990.0,Good,Electronics,"HomeTheater,TV&Video",-0.38007601520304063
136,more than 500,931.0,249.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.7325456498388829
137,more than 500,2399.0,999.0,Excellent,Electronics,"HomeTheater,TV&Video",-0.5835764902042517
138,between 50 and 500,399.0,399.0,Fair,Electronics,"HomeTheater,TV&Video",0.0
139,more than 500,699.0,349.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5007153075822603
140,more than 500,1099.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6369426751592356
141,more than 500,2999.0,1699.0,Good,Computers&Accessories,NetworkingDevices,-0.43347782594198064
142,more than 500,1099.0,655.0,Fair,Electronics,"HomeTheater,TV&Video",-0.40400363967242947
143,more than 500,1339.0,749.0,Good,Computers&Accessories,NetworkingDevices,-0.4406273338312173
144,more than 500,12999.0,9999.0,Good,Electronics,"HomeTheater,TV&Video",-0.23078698361412417
145,between 50 and 500,499.0,195.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6092184368737475
146,more than 500,2100.0,999.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5242857142857142
147,more than 500,899.0,499.0,Good,Computers&Accessories,Accessories&Peripherals,-0.44493882091212456
148,more than 500,599.0,416.0,Good,Electronics,"HomeTheater,TV&Video",-0.3055091819699499
149,more than 500,699.0,368.0,Good,Computers&Accessories,Accessories&Peripherals,-0.47353361945636624
150,more than 500,65000.0,29990.0,Good,Electronics,"HomeTheater,TV&Video",-0.5386153846153846
151,more than 500,1099.0,339.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6915377616014559
152,more than 500,20900.0,15490.0,Good,Electronics,"HomeTheater,TV&Video",-0.25885167464114833
153,more than 500,1299.0,499.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6158583525789069
154,between 50 and 500,399.0,249.0,Fair,Computers&Accessories,NetworkingDevices,-0.37593984962406013
155,more than 500,799.0,399.0,Good,Electronics,"HomeTheater,TV&Video",-0.5006257822277848
156,more than 500,1999.0,1499.0,Good,Computers&Accessories,Accessories&Peripherals,-0.25012506253126565
157,more than 500,15990.0,9490.0,Fair,Electronics,"HomeTheater,TV&Video",-0.4065040650406504
158,more than 500,1499.0,637.0,Good,Electronics,"HomeTheater,TV&Video",-0.5750500333555704
159,more than 500,899.0,399.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5561735261401557
160,more than 500,1600.0,1089.0,Fair,Electronics,"HomeTheater,TV&Video",-0.319375
161,more than 500,999.0,339.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6606606606606606
162,between 50 and 500,499.0,149.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.7014028056112225
163,between 50 and 500,399.0,149.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6265664160401002
164,more than 500,849.0,599.0,Good,Computers&Accessories,Accessories&Peripherals,-0.2944640753828033
165,more than 500,1199.0,299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.7506255212677231
166,more than 500,1299.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6928406466512702
167,more than 500,1999.0,339.0,Fair,Electronics,"HomeTheater,TV&Video",-0.8304152076038019
168,more than 500,22990.0,12499.0,Good,Electronics,"HomeTheater,TV&Video",-0.45632883862548934
169,between 50 and 500,399.0,249.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.37593984962406013
170,more than 500,2499.0,1399.0,Good,Computers&Accessories,NetworkingDevices,-0.44017607042817125
171,more than 500,47990.0,32999.0,Good,Electronics,"HomeTheater,TV&Video",-0.3123775786622213
172,between 50 and 500,399.0,149.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6265664160401002
173,more than 500,999.0,325.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6746746746746747
174,more than 500,1999.0,399.0,Excellent,Computers&Accessories,Accessories&Peripherals,-0.80040020010005
175,between 50 and 500,499.0,199.0,Fair,Computers&Accessories,NetworkingDevices,-0.6012024048096193
176,between 50 and 500,299.0,88.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.705685618729097
177,more than 500,1099.0,399.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6369426751592356
178,between 50 and 500,199.0,57.89,Fair,Computers&Accessories,Accessories&Peripherals,-0.7090954773869348
179,more than 500,1999.0,799.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6003001500750376
180,between 50 and 500,499.0,205.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5891783567134269
181,more than 500,699.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5722460658082976
182,more than 500,999.0,849.0,Good,Computers&Accessories,Accessories&Peripherals,-0.15015015015015015
183,more than 500,1999.0,949.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5252626313156579
184,more than 500,1200.0,499.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5841666666666666
185,between 50 and 500,485.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.3835051546391753
186,more than 500,1999.0,949.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5252626313156579
187,more than 500,1099.0,379.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6551410373066424
188,more than 500,18990.0,8990.0,Fair,Electronics,"HomeTheater,TV&Video",-0.526592943654555
189,more than 500,1999.0,486.0,Good,Electronics,"HomeTheater,TV&Video",-0.7568784392196098
190,more than 500,11000.0,5699.0,Good,Electronics,"HomeTheater,TV&Video",-0.4819090909090909
191,more than 500,1999.0,709.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6453226613306653
192,more than 500,70900.0,47990.0,Good,Electronics,"HomeTheater,TV&Video",-0.3231311706629055
193,more than 500,1199.0,299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.7506255212677231
194,more than 500,599.0,320.0,Good,Computers&Accessories,Accessories&Peripherals,-0.4657762938230384
195,more than 500,549.0,139.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.7468123861566485
196,between 50 and 500,249.0,129.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.4819277108433735
197,more than 500,35999.0,24999.0,Good,Electronics,"HomeTheater,TV&Video",-0.30556404344565125
198,more than 500,1699.0,999.0,Good,Computers&Accessories,Accessories&Peripherals,-0.4120070629782225
199,between 50 and 500,499.0,225.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5490981963927856
200,more than 500,2999.0,547.0,Good,Electronics,"HomeTheater,TV&Video",-0.8176058686228743
201,more than 500,699.0,259.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6294706723891274
202,more than 500,699.0,239.0,Good,Electronics,"HomeTheater,TV&Video",-0.6580829756795422
203,more than 500,999.0,349.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6506506506506506
204,more than 500,599.0,467.0,Good,Electronics,"HomeTheater,TV&Video",-0.22036727879799667
205,more than 500,599.0,449.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.25041736227045075
206,more than 500,31990.0,11990.0,Good,Electronics,"HomeTheater,TV&Video",-0.6251953735542357
207,more than 500,599.0,350.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.41569282136894825
208,more than 500,999.0,252.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.7477477477477478
209,more than 500,599.0,204.0,Fair,Electronics,"HomeTheater,TV&Video",-0.659432387312187
210,more than 500,9990.0,6490.0,Fair,Electronics,"HomeTheater,TV&Video",-0.35035035035035034
